sim_id,hypothesis_id,p_value
0,0,0.8792318658470669
0,1,0.33487491849569906
0,2,0.17908392781905008
0,3,0.5278548722249866
0,4,0.29322790276142724
0,5,0.9154263668972297
0,6,0.04090162267283902
0,7,0.9999992124081293
0,8,0.1965906501701095
0,9,0.0711547579140505
0,10,0.18459488337797494
0,11,0.7514935901601778
0,12,0.12509895006946647
0,13,0.6625049575956826
0,14,0.5927840169946998
0,15,0.18029497475422315
0,16,0.5626054003466985
0,17,0.11402473835346844
0,18,0.7240003333247608
0,19,0.6080444562163791
0,20,0.4947967966851579
0,21,0.40741333600733026
0,22,0.4499884539298359
0,23,0.49713883288714833
0,24,0.6201230825520208
0,25,0.6626768782947048
0,26,0.8690632488944338
0,27,0.054617387432214275
0,28,0.5240084492731713
0,29,0.39569697087214906
0,30,0.4966539784622138
0,31,0.36311180265145293
0,32,0.9515400827219395
0,33,0.38700966560908456
0,34,0.2003214598315352
0,35,0.3704338319043234
0,36,0.8376860220324419
0,37,0.46835540139125703
0,38,0.9360048432539163
0,39,0.17335472490523277
0,40,0.5969376280540655
0,41,0.12317512709135207
0,42,0.6890306946291082
0,43,0.34406395801513745
0,44,0.016260058749047804
0,45,0.9266632240658702
0,46,0.43258759576427985
0,47,0.9683668724998662
0,48,0.9970161517528542
0,49,0.43026826827939835
0,50,0.19605231524786565
0,51,0.9873190648649536
0,52,0.36630181635201925
0,53,0.9292159418928659
0,54,0.021979016599996633
0,55,0.0830088851627683
0,56,0.5917040524706709
0,57,0.01806576068712219
0,58,0.508312446290508
0,59,0.16354704970138392
1,0,0.24254989336161875
1,1,0.8966075317980251
1,2,0.6268192092917764
1,3,0.5726106453612142
1,4,0.052039602742457246
1,5,0.5926354595393294
1,6,0.0742712674054918
1,7,0.7516929180708893
1,8,0.5753790685011719
1,9,0.7857861735556734
1,10,0.05480345997713271
1,11,0.24063956416897897
1,12,0.8441939055699201
1,13,0.7948849819161165
1,14,0.8745519624585473
1,15,0.15540904472588363
1,16,0.65858671690574
1,17,0.39347674081821465
1,18,0.12536185602345065
1,19,0.505662216193704
1,20,0.4085399675154854
1,21,0.984459683875602
1,22,0.4014549863842552
1,23,0.36746326397670703
1,24,0.6532838645876
1,25,0.7054972811735222
1,26,0.10106570062324767
1,27,0.8470856544795179
1,28,0.4271920761602486
1,29,0.5690173921370889
1,30,0.09547493090974299
1,31,0.6748532279522902
1,32,0.9019829049924436
1,33,0.9406834542506655
1,34,0.06293684526673908
1,35,0.0951622342554732
1,36,0.0890135052740278
1,37,0.5124160090944619
1,38,0.052348661746728545
1,39,0.9941146691855585
1,40,0.049407275648906776
1,41,0.3794570844672346
1,42,0.48764918968161974
1,43,0.6337484628916474
1,44,0.26932798896698207
1,45,0.4923591721767501
1,46,0.25515298039197193
1,47,0.39359335949506485
1,48,0.31534528753861735
1,49,0.31558948101721307
1,50,0.18449266039844966
1,51,0.37561126211935025
1,52,0.9705101534645237
1,53,0.3212052406734231
1,54,0.7986317717738429
1,55,0.5017376709945683
1,56,0.1878087076340806
1,57,0.5640459613185755
1,58,0.907010595388398
1,59,0.5020270339011828
2,0,0.6231600707662958
2,1,0.02894710134088332
2,2,0.1808854467390129
2,3,0.005416364364785558
2,4,0.5640060468948745
2,5,0.7121526102233605
2,6,0.1529170525917536
2,7,0.9355073942991686
2,8,0.1822703469751514
2,9,0.8654911436935675
2,10,0.8339526654972854
2,11,0.20281366425414474
2,12,0.9853528020456247
2,13,0.7184161720898427
2,14,0.6357886112224417
2,15,0.7350184725400156
2,16,0.24000997840562088
2,17,0.714455805027202
2,18,0.462273664879893
2,19,0.6269464850660587
2,20,0.16832938056283012
2,21,0.4732546919778491
2,22,0.15970108357447768
2,23,0.8090028039199262
2,24,0.13111755109800305
2,25,0.8789419954224374
2,26,0.4288757653733185
2,27,0.6240499451936743
2,28,0.9894650605557685
2,29,0.4878586850120262
2,30,0.67587586234386
2,31,0.3364182141639091
2,32,0.41436640070612485
2,33,0.32925502292841996
2,34,0.5016781228155177
2,35,0.5074035098727759
2,36,0.3727212016593061
2,37,0.8541698465643133
2,38,0.502796277553925
2,39,0.6894008819866515
2,40,0.6883923938063089
2,41,0.7682455198641556
2,42,0.9619174143504834
2,43,0.037461364664200796
2,44,0.1679868734237584
2,45,0.07275176510039737
2,46,0.35802937924114364
2,47,0.47386135238212473
2,48,0.6739608827130356
2,49,0.30100016067293467
2,50,0.32302262233882933
2,51,0.6199889647827062
2,52,0.7988976337205475
2,53,0.9636225670000342
2,54,0.748389121958649
2,55,0.7034455361956058
2,56,0.859300225239354
2,57,0.814749334461002
2,58,0.6458269165168855
2,59,0.3245350394836065
3,0,0.06575268832837167
3,1,0.5826368984555267
3,2,0.4466178771565369
