sim_id,hypothesis_id,p_value,is_true_null
0,0,0.06416402241492879,False
0,1,0.24767075367189714,False
0,2,0.0004158365783268,False
0,3,0.026047033006069278,False
0,4,0.20689361735931175,False
0,5,0.4958219124389902,False
0,6,0.25818507466156265,False
0,7,0.0046612218037568685,False
0,8,0.062086533541171954,False
0,9,0.3168740642599232,False
0,10,0.0770756551259482,False
0,11,0.21354791213078803,False
0,12,0.0016801360848653604,False
0,13,8.87356155496329e-06,False
0,14,0.01580587730010581,False
0,15,0.5240706830047788,True
0,16,0.1356880352605451,True
0,17,0.46825498331098075,True
0,18,0.7988126882499684,True
0,19,0.8314584373323308,True
0,20,0.6338521862204085,True
0,21,0.07679207996992424,True
0,22,0.3577362294222115,True
0,23,0.4700853194687262,True
0,24,0.8068313471995971,True
0,25,0.1637430498664626,True
0,26,0.6630131079938429,True
0,27,0.3682346768147086,True
0,28,0.9406339184950219,True
0,29,0.5679077156243463,True
0,30,0.05251058994352034,True
0,31,0.5593953909937112,True
0,32,0.35586677674183315,True
0,33,0.6174402550691095,True
0,34,0.968569999325562,True
0,35,0.06666432084629684,True
0,36,0.25908551068622265,True
0,37,0.41738980031705025,True
0,38,0.5439466385645018,True
0,39,0.8151948718029571,True
0,40,0.043073041537885264,True
0,41,0.10646770423496509,True
0,42,0.7140524113689023,True
0,43,0.8911596605822873,True
0,44,0.28236522335502534,True
0,45,0.6613804319914479,True
0,46,0.8925816360090632,True
0,47,0.37314996712902987,True
0,48,0.6001108181007045,True
0,49,0.12689403926915202,True
0,50,0.07196543326280759,True
0,51,0.044189703763282406,True
0,52,0.9238782627930067,True
0,53,0.8637039409376388,True
0,54,0.18407998987813406,True
0,55,0.6028526425001094,True
0,56,0.5582084424762754,True
0,57,0.4133720437743107,True
0,58,0.33262340466076307,True
0,59,0.8163309899803098,True
1,0,0.36783927279083256,False
1,1,0.009179543212651126,False
1,2,0.00020086536379702278,False
1,3,0.003482288737389607,False
1,4,0.9802680678875167,False
1,5,2.839280440590568e-06,False
1,6,0.19769874790544154,False
1,7,0.008929802655439535,False
1,8,0.8443214196023368,False
1,9,0.04384149192656281,False
1,10,0.018613564968582724,False
1,11,0.831813471676392,False
1,12,0.01836512949263588,False
1,13,0.002631659190147395,False
1,14,0.42650980802505006,False
1,15,0.1472805270072627,True
1,16,0.88498195076832,True
1,17,0.48124328973467445,True
1,18,0.2409205999550407,True
1,19,0.7554782446385349,True
1,20,0.3185181119860135,True
1,21,0.46440107065289243,True
1,22,0.43488629869185225,True
1,23,0.9517154493544336,True
1,24,0.8573015195842714,True
1,25,0.07694305902214231,True
1,26,0.9708849356708709,True
1,27,0.47211721525183903,True
1,28,0.08389573758105687,True
1,29,0.397276249108773,True
1,30,0.36126632123583635,True
1,31,0.4081376543182568,True
1,32,0.25310972404836646,True
1,33,0.7168618019897701,True
1,34,0.02628829444355951,True
1,35,0.05519751764450088,True
1,36,0.2871798561616061,True
1,37,0.18537859363827208,True
1,38,0.9057804457878107,True
1,39,0.36923025910310797,True
1,40,0.7389576233505523,True
1,41,0.843787856175595,True
1,42,0.2540607223643207,True
1,43,0.24627147572119198,True
1,44,0.28794975170827064,True
